method,label,test_count,correct,recall
pixel_knn,0,2,1,0.5
pixel_knn,1,14,7,0.5
pixel_knn,2,1,0,0.0
pixel_knn,3,2,0,0.0
pixel_knn,4,7,6,0.8571428571428571
pixel_knn,5,13,5,0.38461538461538464
pixel_knn,6,18,16,0.8888888888888888
pixel_knn,7,3,0,0.0
pixel_knn,8,12,8,0.6666666666666666
pixel_knn,9,10,6,0.6
pixel_knn,A,6,6,1.0
pixel_knn,B,6,0,0.0
pixel_knn,C,12,6,0.5
pixel_knn,D,11,7,0.6363636363636364
pixel_knn,E,7,6,0.8571428571428571
pixel_knn,F,6,6,1.0
pixel_knn,G,6,6,1.0
pixel_knn,H,12,6,0.5
pixel_knn,K,7,6,0.8571428571428571
pixel_knn,L,2,0,0.0
pixel_knn,M,7,2,0.2857142857142857
pixel_knn,N,1,0,0.0
pixel_knn,O,1,0,0.0
pixel_knn,P,6,6,1.0
pixel_knn,Q,6,6,1.0
pixel_knn,R,6,5,0.8333333333333334
pixel_knn,S,7,6,0.8571428571428571
pixel_knn,T,6,4,0.6666666666666666
pixel_knn,U,13,4,0.3076923076923077
pixel_knn,V,6,6,1.0
pixel_knn,X,6,6,1.0
pixel_knn,Y,1,0,0.0
pixel_knn,Z,6,6,1.0
affine_knn,0,2,1,0.5
affine_knn,1,14,10,0.7142857142857143
affine_knn,2,1,0,0.0
affine_knn,3,2,0,0.0
affine_knn,4,7,6,0.8571428571428571
affine_knn,5,13,6,0.46153846153846156
affine_knn,6,18,10,0.5555555555555556
affine_knn,7,3,0,0.0
affine_knn,8,12,1,0.08333333333333333
affine_knn,9,10,5,0.5
affine_knn,A,6,4,0.6666666666666666
affine_knn,B,6,2,0.3333333333333333
affine_knn,C,12,6,0.5
affine_knn,D,11,4,0.36363636363636365
affine_knn,E,7,3,0.42857142857142855
affine_knn,F,6,6,1.0
affine_knn,G,6,3,0.5
affine_knn,H,12,4,0.3333333333333333
affine_knn,K,7,1,0.14285714285714285
affine_knn,L,2,0,0.0
affine_knn,M,7,0,0.0
affine_knn,N,1,0,0.0
affine_knn,O,1,0,0.0
affine_knn,P,6,6,1.0
affine_knn,Q,6,3,0.5
affine_knn,R,6,5,0.8333333333333334
affine_knn,S,7,6,0.8571428571428571
affine_knn,T,6,6,1.0
affine_knn,U,13,1,0.07692307692307693
affine_knn,V,6,0,0.0
affine_knn,X,6,5,0.8333333333333334
affine_knn,Y,1,0,0.0
affine_knn,Z,6,6,1.0
affine_prototype,0,2,1,0.5
affine_prototype,1,14,7,0.5
affine_prototype,2,1,0,0.0
affine_prototype,3,2,1,0.5
affine_prototype,4,7,6,0.8571428571428571
affine_prototype,5,13,0,0.0
affine_prototype,6,18,3,0.16666666666666666
affine_prototype,7,3,0,0.0
affine_prototype,8,12,5,0.4166666666666667
affine_prototype,9,10,5,0.5
affine_prototype,A,6,6,1.0
affine_prototype,B,6,0,0.0
affine_prototype,C,12,6,0.5
affine_prototype,D,11,1,0.09090909090909091
affine_prototype,E,7,0,0.0
affine_prototype,F,6,6,1.0
affine_prototype,G,6,3,0.5
affine_prototype,H,12,0,0.0
affine_prototype,K,7,0,0.0
affine_prototype,L,2,0,0.0
affine_prototype,M,7,0,0.0
affine_prototype,N,1,0,0.0
affine_prototype,O,1,0,0.0
affine_prototype,P,6,6,1.0
affine_prototype,Q,6,0,0.0
affine_prototype,R,6,1,0.16666666666666666
affine_prototype,S,7,2,0.2857142857142857
affine_prototype,T,6,6,1.0
affine_prototype,U,13,0,0.0
affine_prototype,V,6,0,0.0
affine_prototype,X,6,0,0.0
affine_prototype,Y,1,1,1.0
affine_prototype,Z,6,6,1.0
