epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6095,1.85167,3.2134,1.53741,1,0.08252,0.58947,0.29486,1.63846,4.17369,1.32528,0.000658009,0.000658009,0.000658009
2,90.9755,1.4319,1.62744,1.24538,0.88837,0.79586,0.85404,0.53485,1.36042,2.23999,1.21721,0.0012591,0.0012591,0.0012591
3,116.332,1.38448,1.24145,1.22521,0.87948,0.9,0.9208,0.60548,1.25007,1.27619,1.29357,0.0017942,0.0017942,0.0017942
4,140.711,1.34247,1.06659,1.20483,0.88157,0.85081,0.93955,0.61782,1.25207,2.00486,1.21431,0.001703,0.001703,0.001703
5,165.579,1.30259,0.93366,1.19039,0.95024,0.81429,0.92127,0.58909,1.26964,1.1772,1.25837,0.001604,0.001604,0.001604
6,190.306,1.26831,0.85547,1.16943,0.92147,0.88571,0.93862,0.66351,1.09986,1.08749,1.16485,0.001505,0.001505,0.001505
7,214.902,1.21957,0.81055,1.1435,0.95427,0.94286,0.98078,0.66529,1.11618,0.68511,1.09598,0.001406,0.001406,0.001406
8,239.974,1.17819,0.74891,1.12271,0.91336,0.94286,0.9679,0.68959,1.09256,0.72564,1.11336,0.001307,0.001307,0.001307
9,265.738,1.16185,0.72814,1.11135,0.97179,0.98425,0.99002,0.6813,1.1518,0.64428,1.12883,0.001208,0.001208,0.001208
10,290.536,1.14164,0.69585,1.08871,0.9724,0.92857,0.98668,0.70892,1.01409,0.64885,1.11474,0.001109,0.001109,0.001109
11,318.289,1.08361,0.60723,1.10712,0.96384,0.9,0.95032,0.64401,1.21857,0.71811,1.17867,0.00101,0.00101,0.00101
12,343.487,1.042,0.57723,1.07482,0.9855,0.97092,0.98579,0.69956,1.05486,0.65517,1.09749,0.000911,0.000911,0.000911
13,368.431,0.99603,0.56091,1.04724,0.97405,0.97143,0.99142,0.70335,1.10028,0.58694,1.10453,0.000812,0.000812,0.000812
14,393.45,0.97887,0.535,1.02748,0.92562,0.87143,0.95104,0.70238,0.97467,0.64856,1.07214,0.000713,0.000713,0.000713
15,418.686,0.9527,0.51696,1.01668,1,0.98354,0.99065,0.71501,0.99552,0.54986,1.09475,0.000614,0.000614,0.000614
16,443.777,0.91494,0.48629,0.99347,0.9523,0.97143,0.98256,0.73603,0.94452,0.61735,1.07876,0.000515,0.000515,0.000515
17,469.133,0.90006,0.47445,0.99442,0.97009,0.95714,0.98666,0.73876,0.96996,0.64233,1.07525,0.000416,0.000416,0.000416
18,494.738,0.85725,0.45275,0.97217,1,0.98333,0.99421,0.72493,1.05492,0.50968,1.09272,0.000317,0.000317,0.000317
19,521.442,0.8328,0.44241,0.95785,0.95644,0.94097,0.9805,0.70903,0.95557,0.63792,1.08363,0.000218,0.000218,0.000218
20,546.006,0.79884,0.42645,0.9428,0.99805,0.94286,0.98768,0.7334,0.99009,0.61297,1.085,0.000119,0.000119,0.000119
